Closure1,Closure2,Closure3,Closure4,Closure5,Closure6,Closure7,Closure8,Closure9,Closure10
2.996583033882389913e+01,5.747920029535761088e+00,3.749394088472395747e+00,2.464103125396445382e+00,1.323329062755622898e+00,9.608942704776454180e-01,3.500964394332578777e+00,1.187278658047654201e+00,2.358794058996659615e+00,5.926777187380308787e-01
2.274700766007077135e+01,4.363235707569441679e+00,2.846158277169669404e+00,1.870496229699909696e+00,1.004536700199373245e+00,7.294131043235084766e-01,2.657575745276136381e+00,9.012610838371483135e-01,1.790556307695904570e+00,4.499005852883163348e-01
1.786661771671590060e+01,3.427099755714642093e+00,2.235512585188051293e+00,1.469179664245241046e+00,7.890124922399401886e-01,5.729168991043719350e-01,2.087390596760248851e+00,7.078947476743089329e-01,1.406390920860028704e+00,3.533740300260696521e-01
2.145419178241769131e+01,4.115253182351833239e+00,2.684398160585296012e+00,1.764187423680949607e+00,9.474443118241481221e-01,6.879572409093085428e-01,2.506533631478034874e+00,8.500383183416773125e-01,1.688790850937187837e+00,4.243306892950453602e-01
1.740304439181852203e+01,3.338179062738419578e+00,2.177509217208896342e+00,1.431059830227156437e+00,7.685405064274810627e-01,5.580518028663062902e-01,2.033230452146288947e+00,6.895274703832219299e-01,1.369900224880195916e+00,3.442052675535672290e-01
2.226508815360851656e+01,4.270795926909350726e+00,2.785859392466044415e+00,1.830867781275951955e+00,9.832545237470794453e-01,7.139597133326693879e-01,2.601272181717854348e+00,8.821669109592428226e-01,1.752621471387197705e+00,4.403689637555282532e-01
1.618195417377717860e+01,3.103954653042802381e+00,2.024723581261276717e+00,1.330649056067217284e+00,7.146156141248262150e-01,5.188959182809209647e-01,1.890568182244432238e+00,6.411465532172820891e-01,1.273780734138665549e+00,3.200539940323919308e-01
1.838830742388423900e+01,3.527168089651328664e+00,2.300787609505986708e+00,1.512078433389480780e+00,8.120509711817998078e-01,5.896455745629572975e-01,2.148340587767834542e+00,7.285646589846461740e-01,1.447456313275137685e+00,3.636922445403208415e-01
2.573751562584275376e+01,4.936862416410431109e+00,3.220337559425965335e+00,2.116406986774259646e+00,1.136601323764333982e+00,8.253077262190697816e-01,3.006962423060636436e+00,1.019748248862655693e+00,2.025957507772311317e+00,5.090482017228025180e-01
2.468793642430347646e+01,4.735536531330734711e+00,3.089011779057505347e+00,2.030099637315858629e+00,1.090250575416765511e+00,7.916515708658531381e-01,2.884338108230279030e+00,9.781627839571908067e-01,1.943338699715131623e+00,4.882891505044809066e-01
2.227750513221679896e+01,4.273177699723314404e+00,2.787413033585418809e+00,1.831888834770905694e+00,9.838028732664539922e-01,7.143578802937192718e-01,2.602722880714052334e+00,8.826588851022035831e-01,1.753598887832553466e+00,4.406145523633513972e-01
2.128025563747578985e+01,4.081889479759000849e+00,2.662634867319502163e+00,1.749884579624082059e+00,9.397630711222316746e-01,6.823797467029457664e-01,2.486212344083567949e+00,8.431467798654335155e-01,1.675099271538428969e+00,4.208905017072281929e-01
2.122333498265876983e+01,4.070971198229083043e+00,2.655512823168887593e+00,1.745203969681079270e+00,9.372493828333123833e-01,6.805545100761919430e-01,2.479562196780347616e+00,8.408915218631618504e-01,1.670618698135374114e+00,4.197646993028036344e-01
1.619354368503298147e+01,3.106177704536005724e+00,2.026173687749215802e+00,1.331602066565653164e+00,7.151274216367332626e-01,5.192675513989565284e-01,1.891922206671438289e+00,6.416057422073963012e-01,1.274693015560130149e+00,3.202832166174067186e-01
1.982165663585950099e+01,3.802107130274465341e+00,2.480131582335392437e+00,1.629943355972213181e+00,8.753494897890831128e-01,6.356078265615693335e-01,2.315801475686851241e+00,7.853555074165283756e-01,1.560284009602790789e+00,3.920416722552544919e-01
2.114399626864310733e+01,4.055752778507289769e+00,2.645585779534394444e+00,1.738679913081931705e+00,9.337456846253384679e-01,6.780104085157574456e-01,2.470292905400121253e+00,8.377480360714231189e-01,1.664373461972966872e+00,4.181955024042450786e-01
2.589896310664915191e+01,4.967830595771806301e+00,3.240538242113207179e+00,2.129682882604418293e+00,1.143731049223100538e+00,8.304847547724527601e-01,3.025824636303751536e+00,1.026144972937698352e+00,2.038666027918763390e+00,5.122413828740809416e-01
2.389464688870473452e+01,4.583371056210178374e+00,2.989753555220893144e+00,1.964867097389188189e+00,1.055217903678061120e+00,7.662136850816869682e-01,2.791656597752341096e+00,9.467317932381168477e-01,1.880894021143679318e+00,4.725991119858997669e-01
1.701598654076254036e+01,3.263935247382124150e+00,2.129079642515420367e+00,1.399231896553628784e+00,7.514475409571902409e-01,5.456402772313495575e-01,1.988009754445874577e+00,6.741918190499376351e-01,1.339432530535147992e+00,3.365498626610724520e-01
2.034629691799243290e+01,3.902741431139012285e+00,2.545775789425998248e+00,1.673084752165653999e+00,8.985182698625426845e-01,6.524311161371685319e-01,2.377096187924485626e+00,8.061423237031276612e-01,1.601581659846847305e+00,4.024182445730175584e-01
2.166251232133288340e+01,4.155212355338371744e+00,2.710463708854253806e+00,1.781317711252528468e+00,9.566440109614090526e-01,6.946373165155259599e-01,2.530872112377906546e+00,8.582922037535075654e-01,1.705189036604130459e+00,4.284509469476612820e-01
1.890599990336735559e+01,3.626469692120384725e+00,2.365562491438953696e+00,1.554648508780845928e+00,8.349129274808194667e-01,6.062460735906849418e-01,2.208823575136816597e+00,7.490761958041595170e-01,1.488207059414480504e+00,3.739314000811024274e-01
2.228257288600853059e+01,4.274149775023578179e+00,2.788047122676016620e+00,1.832305558346249752e+00,9.840266716995247354e-01,7.145203845703439471e-01,2.603314955933844210e+00,8.828596749969981339e-01,1.753997801775575738e+00,4.407147846853812223e-01
2.355151595029076361e+01,4.517553117198898960e+00,2.946820217565487177e+00,1.936651292647390887e+00,1.040064806366904016e+00,7.552107344202989569e-01,2.751567963985205534e+00,9.331365737668594340e-01,1.853884083163079177e+00,4.658125133998379241e-01
2.585696239247072370e+01,4.959774194745993903e+00,3.235283015487692371e+00,2.126229145801341591e+00,1.141876244430429788e+00,8.291379459187119272e-01,3.020917613764658949e+00,1.024480859145323386e+00,2.035359894434141115e+00,5.114106737903286737e-01
1.897752984079736294e+01,3.640190265033483197e+00,2.374512482863065266e+00,1.560530446320628650e+00,8.380717802136796735e-01,6.085397763270000704e-01,2.217180552441958774e+00,7.519102894088376399e-01,1.493837618939864553e+00,3.753461514715407676e-01
1.863083327583700566e+01,3.573688382476768677e+00,2.331133005756706122e+00,1.532021438573354377e+00,8.227612203132197433e-01,5.974224891002526405e-01,2.176675339810121290e+00,7.381737959514024228e-01,1.466547008652869799e+00,3.684890303141538648e-01
2.388457697005973301e+01,4.581439486605032307e+00,2.988493583679571852e+00,1.964039043645137816e+00,1.054773203302605156e+00,7.658907797251275351e-01,2.790480110191964513e+00,9.463328121533177706e-01,1.880101356164740167e+00,4.723999445894714322e-01
2.280965092432974828e+01,4.375251676066839401e+00,2.853996347466386307e+00,1.875647412280209592e+00,1.007303106177197094e+00,7.314218440457139758e-01,2.664894475818079478e+00,9.037430778244387453e-01,1.795487342741470593e+00,4.511395720454163816e-01
2.065097010812053568e+01,3.961182565998236704e+00,2.583897204553357252e+00,1.698138159714534190e+00,9.119730242471264514e-01,6.622008678661215342e-01,2.412691730530366119e+00,8.182138055285360645e-01,1.625564352890350950e+00,4.084442084540119700e-01
2.177345754809797640e+01,4.176493403915832126e+00,2.724345432560014046e+00,1.790440784997809676e+00,9.615434928476840337e-01,6.981949230136610396e-01,2.543834052168458815e+00,8.626879738176459478e-01,1.713922214987926740e+00,4.306452717222635229e-01
